"","AMZN","JPM","DIS","GOOG","KO"
"846",703.070007,58.080238,101.80014,723.179993,41.759258
"847",713.22998,57.864922,97.684204,715.289978,41.494549
"848",717.929993,57.827477,97.130325,713.309998,41.832279
"849",709.919983,57.293854,95.993896,710.830017,41.394146
"850",710.659973,57.724495,95.841103,716.48999,41.640594
"851",695.27002,57.724495,95.440025,706.22998,40.846485
"852",697.450012,59.952587,94.542343,706.630005,40.600033
"853",698.52002,59.34407,93.97892,700.320007,40.453991
"854",702.799988,59.456413,95.287216,709.73999,40.116272
"855",696.75,59.409607,94.714249,704.23999,40.134525
"856",704.200012,60.420685,95.029381,720.090027,40.499626
"857",708.349976,61.338123,95.363632,725.27002,40.508762
"858",714.909973,60.879395,95.315872,724.119995,40.791714
"859",712.23999,61.253872,95.774269,732.659973,40.873867
"860",722.789978,61.104073,94.752434,735.719971,40.709564
"861",719.440002,61.49728,94.083954,734.150024,40.80085
"862",728.23999,61.609627,94.274956,730.400024,40.819099
"863",725.539978,60.514294,94.303604,722.340027,41.111187
"864",726.72998,61.113453,94.332245,716.549988,41.412399
"865",723.73999,60.907475,93.921608,716.650024,41.366756
"866",726.640015,61.085354,93.625572,728.280029,41.576691
"867",727.650024,60.617271,93.434578,728.580017,41.768375
"868",717.909973,59.765347,92.957085,719.409973,41.978317
"869",715.23999,59.231731,93.176735,718.359985,41.500034
"870",719.299988,58.117691,93.969368,718.27002,41.426453
"871",714.26001,58.014706,93.845222,718.919983,41.398853
"872",717.51001,58.248756,93.950264,710.359985,41.674797
"873",706.390015,58.304916,94.542343,691.719971,41.196514
"874",714.01001,58.389168,95.086685,693.710022,41.371265
"875",715.820007,58.932152,94.370453,695.940002,41.509239
"876",710.599976,58.707474,94.341805,697.460022,41.260899
"877",722.080017,59.961956,94.561447,701.869995,41.463249
"878",698.960022,55.795979,91.410034,675.219971,40.40551
"879",691.359985,53.932987,90.130371,668.26001,40.267544
"880",707.950012,55.721088,91.725174,680.039978,40.635452
"881",715.599976,57.293854,92.613304,684.109985,40.874592
"882",715.619995,58.173855,93.415482,692.099976,41.693192
"883",725.679993,57.796463,93.616013,699.210022,41.500034
"884",728.099976,56.183151,93.26268,694.950012,41.785164
"885",737.609985,56.786964,94.017105,697.77002,41.637997
"886",736.570007,57.154919,94.661598,695.359985,41.472439
"887",745.809998,58.33424,95.825508,705.630005,41.739178
"888",753.780029,58.749363,96.171806,715.090027,41.913933
"889",748.210022,59.626789,96.383408,720.640015,41.92313
"890",742.630005,59.58905,96.0756,716.97998,42.070297
"891",741.200012,60.494774,96.162178,720.950012,42.0243
"892",735.440002,60.551376,95.998642,719.849976,41.969124
"893",736.070007,60.343819,96.33532,733.780029,41.969124
"894",739.950012,60.249466,95.681221,736.960022,41.969124
"895",745.719971,60.315517,94.478836,741.190002,41.858749
"896",744.429993,60.089081,94.276825,738.630005,41.803562
"897",744.859985,60.419289,93.988251,742.73999,42.153076
"898",739.609985,60.258904,93.680443,739.77002,41.913933
"899",735.590027,60.504204,93.007111,738.419983,41.279289
"900",736.669983,60.692898,92.66082,741.77002,39.918034
"901",752.609985,60.475899,92.256828,745.909973,40.147976
"902",758.809998,60.353249,92.295296,768.789978,40.129574
"903",767.73999,60.192856,91.900909,772.880005,39.96402
"904",760.580017,60.05135,91.391106,771.070007,40.037601
"905",754.640015,61.004242,92.429955,773.179993,40.138771
"906",760.77002,60.909889,91.535385,771.609985,40.019211
"907",765.97998,62.551517,92.179871,782.219971,39.991619
"908",766.559998,62.362827,92.102913,781.76001,39.954823
"909",768.309998,62.145836,92.987869,784.26001,39.982414
"910",768.559998,61.589191,94.132538,784.679993,40.111179
"911",771.23999,61.759014,94.045959,784.849976,40.239948
"912",772.559998,61.626926,93.151375,783.219971,40.497482
"913",768.48999,62.004307,93.401497,782.440002,40.690639
"914",764.039978,61.994873,93.189865,777.140015,40.313534
"915",764.630005,62.164707,93.180252,779.909973,40.525085
"916",764.460022,62.221313,92.968643,777.5,40.561867
"917",757.309998,62.136387,92.718529,775.419983,40.396309
"918",759.47998,62.079784,92.218346,772.150024,40.230759
"919",762.450012,62.051483,92.314529,772.080017,40.331924
"920",757.25,62.221313,92.170258,769.640015,40.331924
"921",759.219971,62.334522,91.91053,769.409973,40.16637
"922",769,62.476032,91.583473,769.539978,39.844456
"923",771.289978,63.164757,91.256432,772.150024,40.046799
"924",767.580017,63.683662,91.246811,769.090027,39.770866
"925",769.159973,63.683662,90.862045,767.049988,39.945625
"926",770.619995,63.410061,90.669655,768.780029,39.872044
"927",772.440002,63.67424,90.82357,771.460022,40.157166
"928",788.869995,63.627071,90.227196,780.080017,40.276741
"929",784.47998,63.362892,90.140617,780.349976,40.138771
"930",784.059998,63.447807,90.506134,775.320007,40.129574
"931",760.140015,62.881725,88.89975,759.659973,38.878693
"932",771.48999,63.268547,90.07328,769.02002,39.72488
"933",761.01001,62.768505,89.169075,759.690002,39.205593
"934",761.090027,62.645859,88.745842,762.48999,39.047958
"935",769.690002,62.872292,88.9767,771.76001,39.279785
"936",778.52002,62.098648,89.034416,768.880005,39.075783
"937",775.099976,62.447735,89.101738,765.700012,39.038689
"938",780.219971,62.702473,89.409569,771.409973,39.261234
